"","titulo","titulo original","ano","classificacao","duracao","enredo","nota","diretor","roteristas","poster"
"182","12 Anos de Escravidão","Original title: 12 Years a Slave","2013","14","2h 14m","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","8.1","Steve McQueen","John Ridley/Solomon Northup","https://m.media-amazon.com/images/M/MV5BMGUzNmY2MzMtNjYzOS00ZTMyLWFiMTctZTAwNzczZjE1OWRjXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"183","O Grande Hotel Budapeste","Original title: The Grand Budapest Hotel","2014","14","1h 39m","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","8.1","Wes Anderson","Stefan Zweig/Wes Anderson/Hugo Guinness","https://m.media-amazon.com/images/M/MV5BNGE0YjdkOWMtYzA2ZS00NTJlLWE3NTYtODI3YjUzZmFkYTViXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"184","Ben-Hur","Ben-Hur","1959","Livre","3h 32m","After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.","8.1","William Wyler","Lew Wallace/Karl Tunberg/Gore Vidal","https://m.media-amazon.com/images/M/MV5BNjgxY2JiZDYtZmMwOC00ZmJjLWJmODUtMTNmNWNmYWI5ODkwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg"
"185","Sindicato de Ladrões","Original title: On the Waterfront","1954","14","1h 48m","An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.","8.1","Elia Kazan","Budd Schulberg/Malcolm Johnson/Robert Siodmak","https://m.media-amazon.com/images/M/MV5BY2I0MWFiZDMtNWQyYy00Njk5LTk3MDktZjZjNTNmZmVkYjkxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg"
"186","Garota Exemplar","Original title: Gone Girl","2014","14","2h 29m","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","8.1","David Fincher","Gillian Flynn","https://m.media-amazon.com/images/M/MV5BY2UwMWYzZjEtZjQyZS00MmQ0LTg5ZmItNDEyNDg3ZDdjMWQ5XkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"187","A General","Original title: The General","1926","Livre","1h 7m","After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.","8.1","Clyde Bruckman/Buster Keaton","Buster Keaton/Clyde Bruckman/Al Boasberg","https://m.media-amazon.com/images/M/MV5BYmRiMDFlYjYtOTMwYy00OGY2LWE0Y2QtYzQxOGNhZmUwNTIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg"
"188","Barry Lyndon","Barry Lyndon","1975","Livre","3h 5m","An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.","8.1","Stanley Kubrick","Stanley Kubrick/William Makepeace Thackeray","https://m.media-amazon.com/images/M/MV5BNmY0MWY2NDctZDdmMi00MjA1LTk0ZTQtZDMyZTQ1NTNlYzVjXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg"
"189","Morangos Silvestres","Original title: Smultronstället","1957","10","1h 31m","After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.","8.1","Ingmar Bergman","Ingmar Bergman","https://m.media-amazon.com/images/M/MV5BZWQ0YzM3MTUtOGQ5YS00ZGY0LWIzMTUtY2JmNGFmMWE0MTczXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"190","Em Nome do Pai","Original title: In the Name of the Father","1993","16","2h 13m","A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.","8.1","Jim Sheridan","Gerry Conlon/Terry George/Jim Sheridan","https://m.media-amazon.com/images/M/MV5BMmYyOTgwYWItYmU3Ny00M2E2LTk0NWMtMDVlNmQ0MWZiMTMxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg"
"191","O Franco Atirador","Original title: The Deer Hunter","1978","18","3h 3m","An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.","8.1","Michael Cimino","Michael Cimino/Deric Washburn/Louis Garfinkle","https://m.media-amazon.com/images/M/MV5BNDhmNTA0ZDMtYjhkNS00NzEzLWIzYTItOGNkMTVmYjE2YmI3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg"
"192","Até o Último Homem","Original title: Hacksaw Ridge","2016","16","2h 19m","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","8.1","Mel Gibson","Robert Schenkkan/Andrew Knight","https://m.media-amazon.com/images/M/MV5BY2U4ZjdiOWMtZDVlNy00ZWUyLTlkZWYtZjRjOWU0YzBmYTcyXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"193","O 3º Homem","Original title: The Third Man","1949","14","1h 44m","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","8.1","Carol Reed","Graham Greene/Orson Welles/Alexander Korda","https://m.media-amazon.com/images/M/MV5BYjE2OTdhMWUtOGJlMy00ZDViLWIzZjgtYjZkZGZmMDZjYmEyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg"
"194","Memórias de um Assassino","Original title: Salinui chueok","2003","14","2h 11m","In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","8.1","Bong Joon Ho","Bong Joon Ho/Kwang-rim Kim/Sung-bo Shim","https://m.media-amazon.com/images/M/MV5BZGExZTdiYzktMDk3Mi00N2U2LThiMWMtZjZiNDcxMmU2MDM5XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"195","O Salário do Medo","Original title: Le salaire de la peur","1953","16","2h 11m","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","8.2","Henri-Georges Clouzot","Georges Arnaud/Henri-Georges Clouzot/Jérôme Géronimi","https://m.media-amazon.com/images/M/MV5BMTIwZWMzOTQtZTJjYy00ZTYwLThlODEtNjkxNzhiNGU0MWQ5XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"196","Bancando o Águia","Original title: Sherlock Jr.","1924","Passed","45m","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","8.2","Buster Keaton","Jean C. Havez/Joseph A. Mitchell/Clyde Bruckman","https://m.media-amazon.com/images/M/MV5BZWFhOGU5NDctY2Q3YS00Y2VlLWI1NzEtZmIwY2ZiZjY4OTA2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg"
"197","Relatos Selvagens","Original title: Relatos salvajes","2014","14","2h 2m","Six short stories that explore the extremities of human behavior involving people in distress.","8.1","Damián Szifron","Julian Loyola/Damián Szifron/Germán Servidio","https://m.media-amazon.com/images/M/MV5BODVkZjVjMGYtYzY3NS00YzBkLWE4NDEtODc4YmJlODRmNTI1XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"198","A Mulher Faz o Homem","Original title: Mr. Smith Goes to Washington","1939","Livre","2h 9m","A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.","8.1","Frank Capra","Sidney Buchman/Lewis R. Foster/Myles Connolly","https://m.media-amazon.com/images/M/MV5BZTYwYjYxYzgtMDE1Ni00NzU4LWJlMTEtODQ5YmJmMGJhZjI5L2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg"
"199","Mad Max: Estrada da Fúria","Original title: Mad Max: Fury Road","2015","16","2h","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.","8.1","George Miller","George Miller/Brendan McCarthy/Nick Lathouris","https://m.media-amazon.com/images/M/MV5BNTA2ZTM0MGEtMWRkNC00ZTRkLWI1MTEtZjYzMzJhZTNiOTU2XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"200","Mary e Max: Uma Amizade Diferente","Original title: Mary and Max.","2009","12","1h 32m","A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.","8.1","Adam Elliot","Adam Elliot","https://m.media-amazon.com/images/M/MV5BNGFiMjFjYjMtYjExOC00NzU2LTk2ZTItMjA0Njc2ZjFiNjRhXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"201","Sociedade dos Poetas Mortos","Original title: Dead Poets Society","1989","12","2h 8m","Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.","8.1","Peter Weir","Tom Schulman","https://m.media-amazon.com/images/M/MV5BMDhhMzA0YmItODRiZi00ZTYxLWE3YzgtNmUxZmQ0NGVhNWI0XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"202","Monstros S.A.","Original title: Monsters, Inc.","2001","Livre","1h 32m","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","8.1","Pete Docter/David Silverman/Lee Unkrich","Pete Docter/Jill Culton/Jeff Pidgeon","https://m.media-amazon.com/images/M/MV5BZGViZDY3N2QtNTU1OS00NTkzLWJlZGMtYzE3NDEyMDQxNmYzXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_.jpg"
"203","Como Treinar o Seu Dragão","Original title: How to Train Your Dragon","2010","Livre","1h 38m","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","8.1","Dean DeBlois/Chris Sanders","Will Davies/Dean DeBlois/Chris Sanders","https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_.jpg"
"204","O Sétimo Selo","Original title: Det sjunde inseglet","1957","12","1h 36m","A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.","8.1","Ingmar Bergman","Ingmar Bergman","https://m.media-amazon.com/images/M/MV5BOWM3MmE0OGYtOGVlNC00OWE1LTk5ZTAtYmUwMDIwM2ZlNWJiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg"
"205","Tubarão","Original title: Jaws","1975","14","2h 4m","When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","8.1","Steven Spielberg","Peter Benchley/Carl Gottlieb","https://m.media-amazon.com/images/M/MV5BNWJiMGQ5YTQtZDk2Mi00ZDExLTgzMGUtM2M2ODVkYmNlYWJkXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"206","O Quarto de Jack","Original title: Room","2015","14","1h 58m","A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.","8.1","Lenny Abrahamson","Emma Donoghue","https://m.media-amazon.com/images/M/MV5BZTBlM2RlMWMtMDNmNi00MzE1LTgxOTMtZTM3MDJiYWE3NzMxXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"207","O Grande Lebowski","Original title: The Big Lebowski","1998","14","1h 57m","Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.","8.1","Joel Coen/Ethan Coen","Ethan Coen/Joel Coen","https://m.media-amazon.com/images/M/MV5BMDQxOTk1YmUtNDg3NC00ZGY5LTkzYTUtOTExMDgzMzE0YTUzXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"208","Era uma Vez em Tóquio","Original title: Tôkyô monogatari","1953","10","2h 16m","An old couple visit their children and grandchildren in the city, but receive little attention.","8.2","Yasujirô Ozu","Kôgo Noda/Yasujirô Ozu","https://m.media-amazon.com/images/M/MV5BZmQwYmRmOTgtYmNjZC00NGZkLTg0ZGItMWMwY2ExMDllYWRiXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_.jpg"
"209","Ford vs Ferrari","Original title: Ford v Ferrari","2019","12","2h 32m","American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.","8.1","James Mangold","Jez Butterworth/John-Henry Butterworth/Jason Keller","https://m.media-amazon.com/images/M/MV5BMzliNDUxMDMtYjM4Ny00Y2U2LWE4ZTUtNTE3MjhmNWQ5YTFkXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"210","O Martírio de Joana D'Arc","Original title: La passion de Jeanne d'Arc","1928","14","1h 50m","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","8.2","Carl Theodor Dreyer","Joseph Delteil/Carl Theodor Dreyer","https://m.media-amazon.com/images/M/MV5BNjBjNDJiYTUtOWY0OS00OGVmLTg2YzctMTE0NzVhODM1ZWJmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg"
"211","Hotel Ruanda","Original title: Hotel Rwanda","2004","14","2h 1m","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","8.1","Terry George","Keir Pearson/Terry George","https://m.media-amazon.com/images/M/MV5BMDA2ODZhYTktMjI3MC00N2NlLTk5ZjgtNGQ1OGI1MWIyOTk0XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"212","Rocky: Um Lutador","Original title: Rocky","1976","12","2h","A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.","8.1","John G. Avildsen","Sylvester Stallone","https://m.media-amazon.com/images/M/MV5BZGJhOTdkZWMtNmIyYi00NDY4LThiODUtNWIxNTIyYmNhN2FmXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"213","Ratatouille","Ratatouille","2007","Livre","1h 51m","A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.","8.1","Brad Bird/Jan Pinkava","Brad Bird/Jan Pinkava/Jim Capobianco","https://m.media-amazon.com/images/M/MV5BMjdkM2Y5YTEtNDgyYS00YzU2LTgwYjQtNjQxOGYwYTRmMzNmXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"214","Platoon","Platoon","1986","14","2h","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.","8.1","Oliver Stone","Oliver Stone","https://m.media-amazon.com/images/M/MV5BMzRjZjdlMjQtODVkYS00N2YzLWJlYWYtMGVlN2E5MWEwMWQzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg"
"215","Logan","Logan","2017","16","2h 17m","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","8.1","James Mangold","James Mangold/Scott Frank/Michael Green","https://m.media-amazon.com/images/M/MV5BYThiM2VjYWItM2NlYi00NDk3LTk2YjItYTg4OGM3YWE5MWI2XkEyXkFqcGdeQXVyNjczOTE0MzM@._V1_.jpg"
"216","Spotlight: Segredos Revelados","Original title: Spotlight","2015","12","2h 9m","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","8.1","Tom McCarthy","Josh Singer/Tom McCarthy","https://m.media-amazon.com/images/M/MV5BMWQyMTU5NTctNGVmZS00ZDlkLTkwZTAtYmRmNjZiYmVkNzM1XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"217","O Exterminador do Futuro","Original title: The Terminator","1984","14","1h 47m","A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.","8.1","James Cameron","James Cameron/Gale Anne Hurd/William Wisher","https://m.media-amazon.com/images/M/MV5BNjI3NjU3YjEtOWIzMC00ZjIyLTk0OWUtNzE1ZTEyNDhhMTZiXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"218","Conta Comigo","Original title: Stand by Me","1986","12","1h 29m","After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.","8.1","Rob Reiner","Stephen King/Raynold Gideon/Bruce A. Evans","https://m.media-amazon.com/images/M/MV5BNWVlY2M1ZGYtNDRjMy00YjM4LThkMzUtZTQ4NzdjNGVjNTkxXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"219","Rush: No Limite da Emoção","Original title: Rush","2013","14","2h 3m","The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.","8.1","Ron Howard","Peter Morgan","https://m.media-amazon.com/images/M/MV5BNzUyYTZmMzUtYTY2ZC00NDE5LTk5ZjYtODhmN2QyOWY2MWE1XkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"220","Antes do Pôr do Sol","Original title: Before Sunset","2004","12","1h 20m","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","8.1","Richard Linklater","Richard Linklater/Julie Delpy/Ethan Hawke","https://m.media-amazon.com/images/M/MV5BNWJlZTU1M2ItNjRmOC00ZDMwLTlkMzMtMzQxMmZhZjA1ZWIwXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"221","Rede de Intrigas","Original title: Network","1976","14","2h 1m","A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.","8.1","Sidney Lumet","Paddy Chayefsky","https://m.media-amazon.com/images/M/MV5BNzY0NjU5ODUtOTAzMC00NTU5LWJkZjctYWMyOWY2MTZmOWM1XkEyXkFqcGdeQXVyMTI3ODAyMzE2._V1_.jpg"
"222","O Mágico de Oz","Original title: The Wizard of Oz","1939","Livre","1h 42m","Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.","8.1","Victor Fleming/George Cukor/Mervyn LeRoy","Noel Langley/Florence Ryerson/Edgar Allan Woolf","https://m.media-amazon.com/images/M/MV5BMmVmODk3YWItNTg1Zi00OThhLThiZTEtN2RiNTAyNGUxNjE3XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"223","Na Natureza Selvagem","Original title: Into the Wild","2007","12","2h 28m","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.","8.1","Sean Penn","Sean Penn/Jon Krakauer","https://m.media-amazon.com/images/M/MV5BZTk4NTIxMDgtYmMxOS00ZDYzLWI2ZWQtZDM2NDhiYmMyNjJhXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"224","Os Melhores Anos de Nossa Vida","Original title: The Best Years of Our Lives","1946","Livre","2h 50m","Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.","8.1","William Wyler","Robert E. Sherwood/MacKinlay Kantor","https://m.media-amazon.com/images/M/MV5BZjU4MDc0NDItM2I1Ni00MGJiLTg1ZWUtMDY3NmJkNjk3YzQ1XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"225","O Exorcista","Original title: The Exorcist","1973","14","2h 2m","When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.","8.1","William Friedkin","William Peter Blatty","https://m.media-amazon.com/images/M/MV5BYWFlZGY2NDktY2ZjOS00ZWNkLTg0ZDAtZDY4MTM1ODU4ZjljXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg"
"226","Feitiço do Tempo","Original title: Groundhog Day","1993","12","1h 41m","A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.","8.0","Harold Ramis","Danny Rubin/Harold Ramis","https://m.media-amazon.com/images/M/MV5BYjdmYjY5NDgtZWQ2OC00MWYzLWE4NDgtMTg0ZGE1OTY0NTkxXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"227","Os Incríveis","Original title: The Incredibles","2004","Livre","1h 55m","While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.","8.0","Brad Bird","Brad Bird","https://m.media-amazon.com/images/M/MV5BNDAwM2U3MzMtMjkxYS00MGIwLWI3NDktNDk4NjM3YTkxNzI4XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"228","O Ódio","Original title: La haine","1995","16","1h 38m","24 hours in the lives of three young men in the French suburbs the day after a violent riot.","8.1","Mathieu Kassovitz","Mathieu Kassovitz","https://m.media-amazon.com/images/M/MV5BOTQxOGU0OWUtMzExYy00ZjIxLWJmMzAtNTI1Y2YxYTMxN2RkXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg"
"229","Ser ou Não Ser","Original title: To Be or Not to Be","1942","Livre","1h 39m","During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.","8.2","Ernst Lubitsch","Melchior Lengyel/Edwin Justus Mayer/Ernst Lubitsch","https://m.media-amazon.com/images/M/MV5BMGY3ZDgzY2MtNTllNi00ZWI1LTk1NTUtNWEzN2Q4YTA1ZGZiXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_.jpg"
"230","Piratas do Caribe: A Maldição do Pérola Negra","Original title: Pirates of the Caribbean: The Curse of the Black Pearl","2003","14","2h 23m","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","8.1","Gore Verbinski","Ted Elliott/Terry Rossio/Stuart Beattie","https://m.media-amazon.com/images/M/MV5BNmI3MzhjOGMtMTAyOS00YzI0LThhOTEtZWEyMDAyOGVhNmMwXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg"
"231","Sempre ao Seu Lado","Original title: Hachi: A Dog's Tale","2009","Livre","1h 33m","A college professor bonds with an abandoned dog he takes into his home.","8.1","Lasse Hallström","Stephen P. Lindsey/Kaneto Shindô","https://m.media-amazon.com/images/M/MV5BNzE4NDg5OWMtMzg3NC00ZDRjLTllMDMtZTRjNWZmNjBmMGZlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg"
"232","A Batalha de Argel","Original title: La battaglia di Algeri","1966","14","2h 1m","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","8.1","Gillo Pontecorvo","Franco Solinas/Gillo Pontecorvo","https://m.media-amazon.com/images/M/MV5BN2M4YTA4ZTEtN2EyNy00YTlmLWE4YzYtYjYyYjRkMWM4ZDM0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg"
"233","As Vinhas da Ira","Original title: The Grapes of Wrath","1940","12","2h 9m","An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.","8.1","John Ford","Nunnally Johnson/John Steinbeck","https://m.media-amazon.com/images/M/MV5BNzJiOGI2MjctYjUyMS00ZjkzLWE2ZmUtOTg4NTZkOTNhZDc1L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg"
"234","Jai Bhim","Jai Bhim","2021","TV-MA","2h 44m","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","8.8","T.J. Gnanavel","T.J. Gnanavel/Rajendra Sapre","https://m.media-amazon.com/images/M/MV5BNzFkM2FhMzQtYjUwZi00N2Y3LWFkZWItMmZmMjQxNGQwZmNhXkEyXkFqcGdeQXVyODEyNjEwMDk@._V1_.jpg"
"235","A Canção da Estrada","Original title: Pather Panchali","1955","12","2h 5m","Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.","8.2","Satyajit Ray","Bibhutibhushan Bandyopadhyay/Satyajit Ray","https://m.media-amazon.com/images/M/MV5BMmFkNDY5OTktNzY3Yy00OTFlLThhNjktOTRhMmZjZmIxYjAxXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_.jpg"
"236","Amores Brutos","Original title: Amores perros","2000","16","2h 34m","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","8.1","Alejandro G. Iñárritu","Guillermo Arriaga","https://m.media-amazon.com/images/M/MV5BZjUxNmEwOGItMTBmYi00MWQ1LWExY2MtNDUxMjI0OWM4M2NiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg"
"237","Meu Pai e Meu Filho","Original title: Babam ve Oglum","2005","Not Rated","1h 52m","The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.","8.2","Çagan Irmak","Çagan Irmak","https://m.media-amazon.com/images/M/MV5BNzEzMWYyYjEtNmVjZS00YTAyLWIyOTgtMzEzNzQxMTQzZTgwXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_.jpg"
"238","A Criada","Original title: Ah-ga-ssi","2016","18","2h 25m","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","8.1","Park Chan-wook","Sarah Waters/Chung Seo-kyung/Park Chan-wook","https://m.media-amazon.com/images/M/MV5BY2JjYjYwYTUtZjNkYi00MjgzLTliYjEtMWQ4YjdhNDFkNzUyXkEyXkFqcGdeQXVyMjgyOTI1ODY@._V1_.jpg"
"239","Rebecca, a Mulher Inesquecível","Original title: Rebecca","1940","12","2h 10m","A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.","8.1","Alfred Hitchcock","Daphne Du Maurier/Robert E. Sherwood/Joan Harrison","https://m.media-amazon.com/images/M/MV5BZDY1ZDFkNjAtMTIyYy00YWY3LWIyNjMtOTRkOTIzYmEzZjg2XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"240","Rebeldia Indomável","Original title: Cool Hand Luke","1967","14","2h 7m","A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","8.1","Stuart Rosenberg","Donn Pearce/Frank Pierson/Hal Dresner","https://m.media-amazon.com/images/M/MV5BNjcwNTQ3Y2EtMjdmZi00ODBhLWFhNzQtOTc3MWU5NTZlMDViXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg"
"241","A Noviça Rebelde","Original title: The Sound of Music","1965","Livre","2h 52m","A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.","8.1","Robert Wise","Georg Hurdalek/Howard Lindsay/Russel Crouse","https://m.media-amazon.com/images/M/MV5BYjg3ODVmNzItOWJhZS00MjYyLWFlMDItNTgxMjhmZGNhNmNhXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
